Educational Services
User, Repo, Topic
africanmathsinitiative, R-Instat, Education
WienerSchriften, Prima, Education
carpentries-incubator, docker-introduction, Education
jsommers, switchyard, Education
CrazyGoodGuides, TrueSeniorDev, Education
atesoe, atesoe.github.io, Education
flandreas, antares, Education
apreshill, data-vis-labs-2018, Education
opencast, annotation-tool, Education
weblabdeusto, weblabdeusto, Education
adrian-hintze, Snapp, Education
donovanglover, awesome-physics, Education
tekiegirl, SoftwareArchitectureResources, Education
Levofron, NotionLingo, Education
d-holguin, mooc-java-programming-i, Education
mikinty, Trading-Curriculum, Education
scaomath, UCI-Math10, Education
L-M-Sherlock, thoughts-memo-translation, Education
ideoxan, ideoxan, Education
fauu, lisons, Education
valentiay, study, Education
particify, arsnova, Education
projectestac, agora, Education
JustAGod1, bevm, Education
wurmlab, afra, Education
ucfopen, Materia, Education
freehackquest, fhq-server, Education
microsoft, microcode, Education
Advanced-Computer-Lab-2022, Linear-Depression, Education
alexdlaird, java-ngrok, Education
Polkadot-Blockchain-Academy, pba-book, Education
OpenChemE, CHBE356, Education
codepymdev, grad, Education
mathigon, studio, Education
gjbex, Fortran-MOOC, Education
wix-incubator, fed-training-kit, Education
UNO-Coders, Web-Development, Education
Wakoma, Lokal, Education
zxq9, erlmud, Education
cpp-for-yourself, supplementary-materials, Education
cjmlgrto, fit3143-notes, Education
BitcoinDeveloperNetwork, tutorials, Education
shredEngineer, MagnetiCalc, Education
IEEE-VIT, resources, Education
jce-il, se-class, Education
ZizhengYang, Collection-Obsidian-Templates-Snippets, Education
JirkaDellOro, FUDGE, Education
pratapvardhan, rural-facilities-pmgsy, Education
Spinmob, spinmob, Education
hpi-schul-cloud, schulcloud-client, Education
KDE, gcompris, Education
kottans, git-course, Education
kamranayub, awesome-deved, Education
tinyMLx, arduino-library, Education
diwas7777, CodesHub, Education
openjournals, jose-reviews, Education
Aniket762, playground, Education
lightspeedwp, lsx, Education
laowantong, paroxython, Education
OCA, vertical-education, Education
cerpus, Edlib, Education
heypoom, FlipED, Education
AberFray, how-to-make-game-cheats-and-anticheats, Education
digitaldisarray, Malware-Analysis, Education
JavaneseOnline, JavaneseBackend, Education
mgard, epater, Education
kernel-community, kernel, Education
ncsu-geoforall-lab, geospatial-modeling-course, Education
aletheia-foundation, aletheia-admin, Education
huayemao, cheerTimetable-web, Education
erbilnas, humble-book-bundle, Education
LinguaCode, cmil, Education
ivmelo, suap-api-php, Education
jlperona-teaching, ecs154a-winter20, Education
ollinmagno, duolingo-flutter, Education
ropenscilabs, rOpenSciEd, Education
WebPA, WebPA, Education
cedrickchee, YDKGo, Education
nilsreichardt, ankigpt, Education
learnhouse, learnhouse, Education
tunapanda, wikonnect, Education
amadeusproject, amadeuslms, Education
ACM-VIT, fludget, Education
HyunCafe, my-javascript-notes, Education
education, codespaces-teaching-js-template, Education
matheusgr, modeligado, Education
RedHat-Israel, ROSE, Education
project-feynman, v3, Education
wellington36, Resumos_EMAP-FGV, Education
PsyTeachR, introdataviz, Education
OpenScienceMOOC, Main, Education
IAARhub, iaarbook, Education
SchoolGPT, SchoolGPT, Education
infomark-org, infomark, Education
HHousen, lecture2notes, Education
cucapra, lambdalab, Education
ImperialCollegeLondon, Visual2, Education
ratnesh-maurya, Educational-Tech-Exploration, Education
ftsrg-edu, swsv-labs, Education
clear-nus, CS5340-notebooks, Education
sandboxnu, office-hours, Education
mathifold, mathifold, Education
theshteves, vim-workshop, Education
L-M-Sherlock, SuperMemoTutorial, Education
tramyardg, CVparser, Education
spieredd, PRONOTE-Analytics, Education
adamwespiser, deep-learning-koans, Education
Karneades, awesome-security-card-games, Education
chainstacklabs, developer-hub-content, Education
gergelytakacs, AutomationShield, Education
zoonk, deprecated-web, Education
BHSPitMonkey, Prelude, Education
a11exe, job4j, Education
HolonIQ, learning-landscape, Education
mathculthello, savva3, Education
skupriienko, Awesome-Python-Learning, Education
se-edu, addressbook-level3, Education
xiaoxiae, Florodoro, Education
earthlab, abc-classroom, Education
pxl-research, Vivista, Education
YuyingWu, blog, Education
legesher, legesher, Education
serkanyersen, snake, Education
mdeff, python_tour_of_data_science, Education
serkanyersen, snake, Education
mdeff, python_tour_of_data_science, Education
openfun, jitsi-box, Education
elmiram, 2016learnpython, Education
netease-kit, WisdomEducation, Education
vungocbinh2009, pytexexam, Education
Glowstick0017, Little-Plane-Project, Education
hellodeborahuk, buzzphonics, Education
philippwulff, TUM_RCI, Education
disasteroftheuniverse, SuperQuest, Education
camunity, intro-to-web-development, Education
nfdi4plants, Swate, Education
TheJacksonLaboratory, JAXBD2K-ShortCourse, Education
worldbank, LearningPoverty, Education
qiwenmin, HamExam, Education
glutanimate, speed-focus-mode, Education
ppillot, libmol, Education
andrewpap22, Books, Education
ilios, frontend, Education
olferuk, MLSummerSchool, Education
arm61, pylj, Education
Ovsyanka83, autograder, Education
technologiescollege, ArduinoTechnoEduc, Education
SarthakKeshari, calc_for_everything, Education
AsPJT, PAX_SAPIENTICA, Education
learning-gardens, -meta, Education
ghjansen, cas, Education
vlainic, vlainic.github.io, Education
sbednarz, modeling, Education
EanNewton, Awesome-Reading-List, Education
systems-cs-pub-ro, carte-uso, Education
jwmatthys, musescore-theory-plugins, Education
brianyu28, tenacity, Education
geoscixyz, em-apps, Education
maxon887, Cross, Education
jamesgurung, timetable-calendar-generator, Education
codefordurham, school-navigator, Education
palewire, first-visual-story, Education
uclouvain, osis-portal, Education
rust-zurichsee, meetups, Education
vectree, javascript, Education
rvodden, pysketcher, Education
ITPNYU, ITP-IMA-Code-of-Conduct, Education
picoCTF, ctf-primer, Education
so-sc, VTU-Lab-Material, Education
maxbiostat, Computational_Statistics, Education
muhammadalkhalaf, udacity-android-nanodegrees, Education
USCbiostats, rbootcamp, Education
midisandbox, MidiSandbox, Education
beltoforion, Educational-Javascripts-Typescript, Education
jasonclark, algorithmic-awareness, Education
unboagable, software-engineering-roadmap, Education
UCLALibrary, research-tips, Education
ktsstudio, kts-school-backend, Education
chunrapeepat, guide-to-becoming, Education
mpeeples2008, ArchNetSci, Education
ids-s1-19, website, Education
mfherbst, awk-course, Education
blockgeeks, workshop, Education
pedal-edu, pedal, Education
bootstrapworld, codemirror-blocks, Education
urfdvw, CircuitPython-online-IDE, Education
wi-wissen, InstaHub, Education
junwatu, pepefe, Education
beetrandahiya, ChelseaJS, Education
open-austin, budgetparty, Education
Joohansson, nanolinks, Education
elsevierlabs-os, linked-data, Education
bgres, xss-demo, Education
lucko515, ml_tutor, Education
redb0, python-bp, Education
mpazik, binder, Education
bytedance-android, njubytedancer, Education
sdslabs, studyportal, Education
jonhoo, icebreaker, Education
qlicker, qlicker, Education
hereismari, Programming, Education
buza-project, buza-website, Education
tesla809, BuildersETH, Education
vectree, resources, Education
40ants, multitrainer, Education
Dmitriy0111, nanoFOX, Education
selcux, blockchain-resources, Education
Tobotis, fourier-guide, Education
MOVACT, voteswiper-app, Education
examplehub, Java, Education
meghabyte, acl2021-education, Education
OliverKillane, Imperial-Computing-Notes, Education
vectree, web-development-101, Education
vikasmain, RuralEducation, Education
tonyzimbinski, infinite-campus, Education
WVURAIL, dspira, Education
thinkfiveable, open, Education
TheAdityaGupta, BOOKS, Education
algorithmica-org, articles, Education
ShawnTylerSchwartz, eeb-c177-w20, Education
